,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
216,353.0,99.638,-62.5163,2.4511,0.151391,0.324038,0.6402227499312747,0.2529030054437867,0.09098874783268143
217,353.5,84.2005,-65.1656,2.4412,0.157194,0.339203,0.6240383826628791,0.2643564155122777,0.09938786552943986
218,354.0,66.0829,-66.6885,2.4279,0.164966,0.35375100000000004,0.6147351052261828,0.27600140502993825,0.10633365226628486
219,354.5,52.8966,-66.5479,2.4162,0.17184000000000002,0.36645000000000005,0.6155940196707291,0.2861945038780445,0.11001487882808901
220,355.0,47.9271,-65.0742,2.4105,0.17515599999999998,0.376109,0.624596738141055,0.2933748491409923,0.11013387531490443
221,355.5,48.8619,-63.1827,2.4105,0.175149,0.381339,0.636151764256697,0.2967293422649671,0.10796444767637901
222,356.0,52.3792,-61.8361,2.4111,0.17482,0.38170299999999996,0.644378038730566,0.2968663104909346,0.10557217957160692
223,356.5,53.7058,-61.5633,2.4081,0.176578,0.37817900000000004,0.6460445526741807,0.2951263679553218,0.10446158558727027
224,357.0,49.109,-62.2276,2.4027,0.179728,0.37182000000000004,0.6419863957359725,0.29202077527463693,0.10454741027604837
225,357.5,44.3911,-63.1582,2.3985,0.182186,0.362935,0.6363014328476742,0.2871528798575769,0.1044370909578647
